A,B,R,v,name,simulated
0.1292561576745743,0.2037081165631725,0.777663195377,0.1,Salt,False
0.1315353836594233,0.21540885265336618,0.756831657646,0.1,Salt,False
0.1356627633036061,0.21858848840949985,0.761202036494,0.1,Salt,False
0.1484865107815721,0.2688246068138754,0.688786705217,0.1,Salt,False
0.16510167421247063,0.3618990134653858,0.564286908744,0.1,Salt,False
0.1804150796436557,0.4162640379588163,0.511788630056,0.1,Salt,False
0.19002166270339654,0.42281777887510713,0.51836990248,0.1,Salt,False
0.20285787333522942,0.49001608131983865,0.447150737533,0.1,Salt,False
0.21134204758047892,0.48552863026032944,0.464857194649,0.1,Salt,False
0.2250974453140786,0.46776890215257566,0.509502250407,0.1,Salt,False
0.23991578496917162,0.5006783758215967,0.484628503984,0.1,Salt,False
